customer_id,customer_name,segment,country,created_at
C00001,"Russell, Holloway and Gibbons",Mid-Market,UK,2023-10-22
C00002,"Edwards, Harrison and Foster",SMB,DE,2021-08-12
C00003,Whitehead LLC,Mid-Market,FR,2023-03-31
C00004,Walker-Webster,Mid-Market,IE,2022-05-04
C00005,Blake-Price,SMB,NL,2022-04-10
C00006,Pearson Inc,Enterprise,DE,2024-01-27
C00007,Foster-Mellor,Mid-Market,FR,2026-03-09
C00008,Fletcher-Thomas,Mid-Market,UK,2023-05-30
C00009,"Wheeler, Perry and Davies",SMB,IE,2025-11-28
C00010,Clarke LLC,SMB,UK,2023-06-29
C00011,Davis PLC,SMB,UK,2024-02-03
C00012,Garner-Archer,Enterprise,IE,2021-11-04
C00013,"Martin, Henderson and Brooks",SMB,NL,2024-04-14
C00014,Thomas-Abbott,Mid-Market,NL,2023-01-12
C00015,Rahman-Brookes,SMB,UK,2025-06-15
C00016,"Kennedy, Kirk and Smith",SMB,IE,2025-08-11
C00017,Bryant Ltd,SMB,IE,2024-11-01
C00018,"Collier, Moore and Lawrence",SMB,UK,2025-02-22
C00019,"Davis, Taylor and Marsh",Mid-Market,UK,2021-10-28
C00020,Evans-Cox,SMB,UK,2023-07-07
C00021,"Day, Clark and Owens",Mid-Market,DE,2026-01-20
C00022,O'Neill and Sons,SMB,UK,2021-08-27
C00023,"Robinson, Walker and Hill",Enterprise,NL,2023-08-12
C00024,West-Baldwin,Mid-Market,UK,2025-08-07
C00025,Talbot and Sons,Mid-Market,NL,2023-12-26
C00026,"Mason, Taylor and Clark",SMB,UK,2022-07-05
C00027,Hewitt LLC,SMB,DE,2022-01-12
C00028,"Bell, Hill and Briggs",SMB,UK,2025-02-27
C00029,Butler-Stevens,SMB,UK,2022-02-01
C00030,"Pearce, Sharp and Watson",Mid-Market,DE,2022-11-01
C00031,Roberts-Macdonald,Mid-Market,FR,2025-06-20
C00032,Jones PLC,Enterprise,DE,2024-03-08
C00033,Sheppard-Wilkinson,SMB,UK,2021-07-26
C00034,"Garner, Patel and Anderson",SMB,UK,2023-09-24
C00035,Watkins Inc,SMB,UK,2022-12-13
C00036,Smith-Jones,SMB,UK,2025-03-02
C00037,Wood Ltd,SMB,IE,2025-08-02
C00038,"Jenkins, Richardson and White",SMB,IE,2022-10-03
C00039,Robinson Group,SMB,DE,2023-05-18
C00040,Wood-Kerr,Mid-Market,FR,2021-09-26
C00041,Thompson Inc,SMB,IE,2025-07-02
C00042,"Watson, Griffiths and Graham",Mid-Market,DE,2024-12-22
C00043,Gardiner Group,Mid-Market,UK,2021-03-23
C00044,"O'Sullivan, Saunders and Morris",SMB,UK,2025-11-18
C00045,Kemp and Sons,Mid-Market,UK,2023-08-12
C00046,Barton-Farmer,Mid-Market,FR,2024-08-20
C00047,Campbell LLC,SMB,UK,2023-06-20
C00048,Griffiths-Cartwright,SMB,UK,2022-08-21
C00049,"Williams, Parsons and Edwards",Mid-Market,IE,2021-08-30
C00050,"Cooper, Stevens and Whitehead",SMB,UK,2021-04-09
C00051,Richards PLC,SMB,UK,2023-03-12
C00052,Blake PLC,SMB,FR,2024-10-01
C00053,"Lee, Jenkins and Khan",Mid-Market,IE,2025-03-05
C00054,"Poole, Weston and Begum",Mid-Market,UK,2023-01-15
C00055,Thornton and Sons,Mid-Market,FR,2022-02-03
C00056,Conway PLC,Mid-Market,UK,2023-08-06
C00057,Knight and Sons,SMB,FR,2025-07-25
C00058,Bell-Davis,SMB,UK,2023-08-26
C00059,Swift-Davis,SMB,UK,2022-09-03
C00060,White-Saunders,SMB,UK,2025-03-03
C00061,Elliott and Sons,Mid-Market,UK,2025-06-29
C00062,Watson-Harvey,SMB,FR,2021-06-18
C00063,"Parsons, Roberts and Simpson",SMB,UK,2025-06-02
C00064,Ball PLC,Mid-Market,UK,2022-08-13
C00065,Poole-Hughes,SMB,UK,2025-11-24
C00066,Ingram-Scott,SMB,IE,2023-07-11
C00067,"Davidson, Waters and Smith",SMB,DE,2021-03-24
C00068,Ward Ltd,SMB,NL,2025-10-18
C00069,Marshall-Davison,SMB,UK,2023-08-09
C00070,Robinson-Burke,SMB,UK,2024-10-02
C00071,Andrews-Cooper,SMB,UK,2025-04-04
C00072,Herbert PLC,SMB,UK,2025-12-18
C00073,Armstrong LLC,Mid-Market,NL,2023-04-22
C00074,Burns-May,SMB,IE,2023-07-25
C00075,Jenkins-Johnson,SMB,UK,2025-06-14
C00076,Fry-Brooks,SMB,UK,2021-03-28
C00077,Lyons-Fry,SMB,FR,2022-09-04
C00078,Walker Inc,Mid-Market,UK,2025-08-25
C00079,Gordon-Lee,SMB,UK,2022-04-10
C00080,Stephenson-Howard,Mid-Market,UK,2025-11-17
C00081,Garner Group,Mid-Market,UK,2023-06-04
C00082,"West, Ferguson and Richards",SMB,UK,2025-02-05
C00083,"Barton, Thompson and Naylor",Mid-Market,UK,2025-05-26
C00084,"Hardy, Wilson and Chamberlain",SMB,UK,2023-01-13
C00085,Hewitt-Miller,SMB,UK,2023-03-29
C00086,"Brooks, Shaw and Richardson",SMB,UK,2023-02-07
C00087,Young-Martin,Mid-Market,UK,2024-07-17
C00088,Lynch Group,SMB,NL,2024-07-13
C00089,"Clements, Doyle and Austin",SMB,DE,2023-08-25
C00090,Ward-Smith,SMB,UK,2025-04-21
C00091,Lewis Ltd,SMB,UK,2023-01-12
C00092,"Richardson, Kelly and Holmes",Mid-Market,FR,2023-03-18
C00093,Morgan LLC,SMB,UK,2025-10-10
C00094,"Thomas, Hughes and Hanson",SMB,UK,2022-12-11
C00095,Shaw LLC,SMB,FR,2024-05-22
C00096,"Ahmed, Berry and Morris",SMB,UK,2021-10-31
C00097,"Smith, Ford and Pickering",SMB,IE,2022-09-23
